Altrincham Apothecary,53.389,-2.3505
Ashton Artisans,53.4877,-2.1069
Atherton Apparel,53.524,-2.493
Blackley Breads,53.523,-2.213
Bolton Boutique,53.5769,-2.4282
Bramhall Baskets,53.361,-2.164
Bury Bakery,53.5933,-2.2966
Cheadle Ceramics,53.393,-2.218
Chorlton Crafts,53.4428,-2.2764
Denton Deli,53.4542,-2.1158
Didsbury Dairy,53.4168,-2.2312
Droylsden Drinks,53.481,-2.155
Eccles Emporium,53.4828,-2.3364
Failsworth Flowers,53.508,-2.158
Farnworth Foods,53.5463,-2.3995
Gatley Goods,53.388,-2.235
Hale Health,53.377,-2.348
Heywood Haberdashery,53.5901,-2.2198
Hindley Handicrafts,53.535,-2.569
Horwich Honey,53.593,-2.539
Hyde Harvest,53.4503,-2.0831
Irlam Ingredients,53.447,-2.42
Kearsley Knits,53.538,-2.361
Leigh Locals,53.4975,-2.5204
Littleborough Linens,53.644,-2.096
Mancunian Market,53.4808,-2.2426
Marple Market,53.398,-2.0628
Middleton Mercers,53.551,-2.1963
Milnrow Meats,53.611,-2.11
Mossley Mugs,53.515,-2.039
Oldham Organics,53.5409,-2.1114
Pendlebury Plants,53.509,-2.327
Prestwich Produce,53.5298,-2.2801
Radcliffe Rations,53.5611,-2.3263
Ramsbottom Remedies,53.648,-2.316
Rochdale Retail,53.6136,-2.1568
Romiley Roasters,53.414,-2.087
Saddleworth Sundries,53.5492,-2.0063
Sale Sweets,53.4241,-2.3223
Salford Supplies,53.4875,-2.2901
Shaw Spices,53.579,-2.093
Stockport Storehouse,53.4106,-2.1575
Stretford Stationers,53.4466,-2.3222
Swinton Seeds,53.512,-2.339
Tyldesley Teas,53.515,-2.467
Urmston Utensils,53.448,-2.362
Walkden Wools,53.524,-2.399
Westhoughton Woodwork,53.548,-2.525
Whitefield Wares,53.551,-2.298
Wigan Wares,53.5448,-2.6318
Barnsley Baskets,53.5526,-1.482
Barrow Breads,54.1108,-3.2261
Berwick Botanicals,55.7702,-2.0022
Blackburn Butchers,53.7488,-2.4821
Blackpool Berries,53.8175,-3.0357
Bradford Brews,53.796,-1.7594
Burnley Bakes,53.7893,-2.2405
Carlisle Crafts,54.8925,-2.9329
Chester Cheese,53.1905,-2.8918
Clitheroe Candies,53.871,-2.392
Crewe Crafts,53.0988,-2.4393
Darlington Drapery,54.524,-1.554
Dewsbury Denim,53.692,-1.629
Doncaster Delights,53.5228,-1.1311
Durham Dairy,54.7753,-1.5849
Gateshead Glass,54.962,-1.6017
Grimsby Groceries,53.5675,-0.0805
Halifax Herbs,53.7252,-1.8631
Harrogate Honey,53.9921,-1.5418
Hartlepool Hampers,54.6853,-1.2132
Hexham Handicrafts,54.9712,-2.1009
Huddersfield Homewares,53.6458,-1.785
Hull Hardware,53.7676,-0.3274
Keighley Knits,53.8674,-1.9056
Kendal Kettles,54.328,-2.7463
Lancaster Loaf,54.0466,-2.8007
Leeds Leather,53.8008,-1.5491
Liverpool Linens,53.4084,-2.9916
Macclesfield Mugs,53.259,-2.127
Malton Meats,54.1352,-0.7963
Middlesbrough Mosaics,54.5742,-1.2325
Morpeth Mushrooms,55.1683,-1.6873
Newcastle Nectar,54.9783,-1.6178
Northallerton Nuts,54.3392,-1.4332
Penrith Preserves,54.6644,-2.7533
Pontefract Pottery,53.692,-1.309
Preston Provisions,53.7632,-2.7031
Ripon Roots,54.1382,-1.524
Rotherham Rugs,53.43,-1.357
Scarborough Soaps,54.2831,-0.4
Sheffield Silks,53.3811,-1.4701
Skipton Skillets,53.9622,-2.0174
Southport Spices,53.6475,-3.0053
Sunderland Sweets,54.9069,-1.3811
Thirsk Threads,54.2322,-1.3414
Wakefield Wool,53.683,-1.4987
Warrington Wools,53.39,-2.597
Whitby Wares,54.4858,-0.6146
Workington Woodwork,54.6385,-3.5501
York Yarns,53.9599,-1.0873
